Stock_,Open,High,Low,Close,Adj Close,Volume,Stock_Name
5/30/2017,146.449997,147.460007,145.5,147.220001,147.220001,653300,ANET
5/31/2017,147.800003,148.039993,145.330002,147.380005,147.380005,2609300,ANET
6/1/2017,147.509995,148.949997,144.309998,148.520004,148.520004,1573800,ANET
6/2/2017,148.630005,152.539993,148.130005,152.259995,152.259995,1281200,ANET
6/5/2017,152.259995,154.889999,152.259995,154.330002,154.330002,928500,ANET
6/6/2017,153.559998,157.268005,153.259995,155.350006,155.350006,648400,ANET
6/7/2017,156.240005,156.770004,154.850006,156.050003,156.050003,624900,ANET
6/8/2017,155.539993,157.320007,154.725006,157.270004,157.270004,585400,ANET
6/9/2017,157.559998,158.567993,147.009995,149.460007,149.460007,1015700,ANET
6/12/2017,147.479996,149.759995,143,149.759995,149.759995,1153700,ANET
6/13/2017,150.949997,153.369995,149.389999,151.779999,151.779999,630400,ANET
6/14/2017,151.850006,153.380005,148.925003,151.050003,151.050003,550600,ANET
6/15/2017,149.369995,151.330002,147.904999,151.229996,151.229996,539500,ANET
6/16/2017,152.369995,153.149994,151.050003,151.580002,151.580002,1558100,ANET
6/19/2017,153.449997,157.660004,153.449997,156.660004,156.660004,819100,ANET
6/20/2017,156.070007,157.899994,154.800003,155.029999,155.029999,585900,ANET
6/21/2017,155.360001,158.839996,155.244995,158.160004,158.160004,834100,ANET
6/22/2017,158,159.479996,156,158.779999,158.779999,540300,ANET
6/23/2017,159.080002,162.970001,158.899994,161.619995,161.619995,1527600,ANET
6/26/2017,161.740005,162.279999,156,157.779999,157.779999,913700,ANET
6/27/2017,157.380005,158.580994,152.520004,152.820007,152.820007,755900,ANET
6/28/2017,153.970001,155.820007,151.770996,155.270004,155.270004,738700,ANET
6/29/2017,154.779999,155.179993,147.710007,149.949997,149.949997,730700,ANET
6/30/2017,150.429993,151.210007,148.770004,149.789993,149.789993,547100,ANET
7/3/2017,151.059998,151.100006,146.350006,146.889999,146.889999,357800,ANET
7/5/2017,147.100006,149.520004,147.100006,148.619995,148.619995,920500,ANET
7/6/2017,146.5,147.679993,144.190002,145.429993,145.429993,634600,ANET
7/7/2017,146.050003,149.160004,146.050003,148.770004,148.770004,722600,ANET
7/10/2017,148.860001,150.779999,147.919998,149.350006,149.350006,672800,ANET
7/11/2017,149.570007,153.259003,149.570007,153.160004,153.160004,550400,ANET
7/12/2017,155,156.059998,154.270004,155.380005,155.380005,612700,ANET
7/13/2017,155.869995,156.639999,153.649994,154.770004,154.770004,375300,ANET
7/14/2017,155.020004,155.690002,154.119995,155.110001,155.110001,301000,ANET
7/17/2017,155.309998,155.679993,152.800003,155.220001,155.220001,372300,ANET
7/18/2017,154.850006,156.126007,154.009995,155.990005,155.990005,419400,ANET
7/19/2017,156.800003,159,156.729996,157.630005,157.630005,441500,ANET
7/20/2017,158.309998,158.610001,155.270004,156.800003,156.800003,374400,ANET
7/21/2017,151,154,149,152.919998,152.919998,1181300,ANET
7/24/2017,152.5,156.179993,152.020004,155.220001,155.220001,518600,ANET
7/25/2017,155.059998,158.070007,153.789993,158,158,405100,ANET
7/26/2017,158.350006,159,157,157.199997,157.199997,575600,ANET
7/27/2017,158.089996,158.789993,150.059998,152.039993,152.039993,745000,ANET
7/28/2017,151.050003,153.570007,149.410004,150.399994,150.399994,991900,ANET
7/31/2017,151.199997,151.764008,148.490005,149.289993,149.289993,1009900,ANET
8/1/2017,150.429993,150.429993,147.339996,147.800003,147.800003,717300,ANET
8/2/2017,148.960007,148.970001,142.660004,143.460007,143.460007,1162400,ANET
8/3/2017,143.820007,145.035004,141.779999,144.050003,144.050003,1926200,ANET
8/4/2017,167.600006,175.399994,166.5,172.050003,172.050003,4997700,ANET
8/7/2017,170.050003,176.5,169.520004,173.75,173.75,1650900,ANET
8/8/2017,173.690002,174.899994,169.929993,169.940002,169.940002,1171900,ANET
8/9/2017,168.990005,169.880005,167.110001,167.460007,167.460007,1119200,ANET
8/10/2017,167.009995,167.029999,160.940002,164.699997,164.699997,1491500,ANET
8/11/2017,164.529999,168.809998,163.410004,165.690002,165.690002,626300,ANET
8/14/2017,168.080002,170.690002,167.542007,169.800003,169.800003,639700,ANET
8/15/2017,171,171.990005,169.300003,170.589996,170.589996,567900,ANET
8/16/2017,170.600006,174.880005,170.203995,173.669998,173.669998,851500,ANET
8/17/2017,173.5,174.539993,170.220001,171.059998,171.059998,787300,ANET
8/18/2017,171,174.108994,169.940002,172.009995,172.009995,651900,ANET
8/21/2017,172,173.889999,169.850006,172.009995,172.009995,664600,ANET
8/22/2017,172.070007,175.990005,171.914993,175.25,175.25,840400,ANET
8/23/2017,174.440002,175.110001,172.339996,173.509995,173.509995,891800,ANET
8/24/2017,174.320007,176.380005,173.554993,175.110001,175.110001,633100,ANET
8/25/2017,175.639999,176.880005,173.589996,173.729996,173.729996,418400,ANET
8/28/2017,174.229996,175.759995,171.350006,174.110001,174.110001,523500,ANET
8/29/2017,172.429993,174.660004,171.550003,173.279999,173.279999,420100,ANET
8/30/2017,174.259995,178.350006,174.259995,177.949997,177.949997,574800,ANET
8/31/2017,178.690002,179.710007,175.350006,176.149994,176.149994,780200,ANET
9/1/2017,176.770004,177.630005,175.089996,177.490005,177.490005,436600,ANET
9/5/2017,176.740005,177.559998,173.660004,175.229996,175.229996,808800,ANET
9/6/2017,175.550003,176.449997,169.610001,172.729996,172.729996,835800,ANET
9/7/2017,173,174.050003,171.779999,173.649994,173.649994,482000,ANET
9/8/2017,173.330002,174.449997,172.059998,172.679993,172.679993,318000,ANET
9/11/2017,173.929993,176.095001,173.270004,175.309998,175.309998,391800,ANET
9/12/2017,175.639999,176.802994,172.820007,173.820007,173.820007,423200,ANET
9/13/2017,173.820007,175.130005,172.139999,174.889999,174.889999,656000,ANET
9/14/2017,173.949997,176.380005,173.740005,174.940002,174.940002,607500,ANET
9/15/2017,175.130005,177.889999,173.669998,176.960007,176.960007,1380500,ANET
9/18/2017,179,185.410004,178.889999,182.679993,182.679993,1134800,ANET
9/19/2017,183.929993,183.990005,181.050003,181.720001,181.720001,771000,ANET
9/20/2017,186.240005,188.720001,184.070007,188.490005,188.490005,973300,ANET
9/21/2017,188.169998,188.850006,184.479996,187.229996,187.229996,605800,ANET
9/22/2017,187.199997,192.080002,187.029999,191.050003,191.050003,906500,ANET
9/25/2017,192,193.240005,180.570007,180.830002,180.830002,1276100,ANET
9/26/2017,182.850006,186.979996,180.009995,182.660004,182.660004,650400,ANET
9/27/2017,184.759995,190.960007,184.759995,186.550003,186.550003,606400,ANET
9/28/2017,186.009995,188.229996,183.610001,187.550003,187.550003,585300,ANET
9/29/2017,188.25,189.899994,187.800003,189.610001,189.610001,446200,ANET
10/2/2017,190,191.850006,188.630005,190.429993,190.429993,465600,ANET
10/3/2017,190.919998,191.875,188.410004,189.419998,189.419998,314800,ANET
10/4/2017,189.419998,191.029999,187.559998,190.679993,190.679993,390600,ANET
10/5/2017,191.139999,191.960007,188.899994,190.360001,190.360001,360500,ANET
10/6/2017,190.110001,193.399994,189.800003,192.929993,192.929993,721800,ANET
10/9/2017,193.520004,196.270004,192.679993,193.369995,193.369995,489700,ANET
10/10/2017,194.759995,195.339996,191.089996,192.820007,192.820007,415500,ANET
10/11/2017,192.309998,193.514999,191.610001,192.949997,192.949997,335900,ANET
10/12/2017,192,193.110001,190.449997,191.210007,191.210007,509700,ANET
10/13/2017,192.880005,192.880005,190,191.139999,191.139999,620600,ANET
10/16/2017,192.139999,192.5,188.429993,188.789993,188.789993,521800,ANET
10/17/2017,188.860001,190.959,188.860001,190.610001,190.610001,355100,ANET
10/18/2017,190.940002,191.210007,188.559998,189.940002,189.940002,288700,ANET
10/19/2017,188.419998,190.130005,185.25,190.130005,190.130005,524200,ANET
10/20/2017,191.050003,192.949997,191.050003,191.679993,191.679993,324600,ANET
10/23/2017,192,194.240005,191.197998,191.570007,191.570007,464900,ANET
10/24/2017,192.649994,193.720001,190.369995,193.100006,193.100006,343400,ANET
10/25/2017,192.020004,193.339996,188.789993,189.610001,189.610001,457400,ANET
10/26/2017,190.940002,193.899994,190.744995,191.830002,191.830002,429900,ANET
10/27/2017,193.889999,196.675003,192.910004,195.649994,195.649994,556300,ANET
10/30/2017,196.25,200.820007,195.440002,196.160004,196.160004,835700,ANET
10/31/2017,197.330002,201.949997,196.899994,199.889999,199.889999,818400,ANET
11/1/2017,201.410004,201.410004,195.169998,197.259995,197.259995,993700,ANET
11/2/2017,197.5,197.5,177.919998,181.169998,181.169998,2758300,ANET
11/3/2017,201.835007,202.149994,192.75,201.490005,201.490005,3205100,ANET
11/6/2017,202.990005,207.350006,200.490005,206.679993,206.679993,1146100,ANET
11/7/2017,206.600006,214.990005,206.600006,209.559998,209.559998,1438300,ANET
11/8/2017,212.589996,216,211.020004,214.190002,214.190002,1214800,ANET
11/9/2017,213.350006,217.919998,211.199997,213.550003,213.550003,1010600,ANET
11/10/2017,213.600006,221.669998,213.300003,221.050003,221.050003,1160200,ANET
11/13/2017,221.729996,227.128998,221.729996,225.149994,225.149994,963300,ANET
11/14/2017,225.100006,228.860001,224.399994,227.100006,227.100006,632000,ANET
11/15/2017,226,228,221.160004,224.899994,224.899994,615900,ANET
11/16/2017,226.880005,233.335007,226.339996,231.770004,231.770004,849900,ANET
11/17/2017,232.460007,234.630005,229.468002,233.820007,233.820007,581300,ANET
11/20/2017,235,241.949997,234.910004,241.830002,241.830002,721000,ANET
11/21/2017,242.300003,245.649994,240.776001,241.429993,241.429993,954700,ANET
11/22/2017,241.449997,243.354996,238.160004,239.009995,239.009995,617300,ANET
11/24/2017,241.080002,243.429001,240.580002,242.059998,242.059998,298100,ANET
11/27/2017,241.699997,243.589996,238.449997,238.639999,238.639999,542600,ANET
11/28/2017,239,243.669998,238.199997,243.550003,243.550003,539900,ANET
11/29/2017,244.820007,244.899994,226.529999,234.210007,234.210007,1211100,ANET
11/30/2017,237.520004,238.033005,231.190002,233.119995,233.119995,838400,ANET
12/1/2017,232.5,233.220001,222.429993,228.649994,228.649994,1138600,ANET
12/4/2017,232.270004,233.774994,208.619995,209.479996,209.479996,2586700,ANET
12/5/2017,208.399994,218.639999,206.860001,211.050003,211.050003,1272100,ANET
12/6/2017,209.149994,213.960007,207.369995,212.860001,212.860001,631600,ANET
